379 volleyball+court+outdoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/ice+shelf/6.jpg 198
/media/MartinK3TB/Datasets/SUN397/SUN_original/crosswalk/135.jpg 121


151 field+cultivated
309 runway
263 palace
122 cubicle+office
208 jewelry+shop
/media/MartinK3TB/Datasets/SUN397/SUN_original/hospital/10.jpg 187
/media/MartinK3TB/Datasets/SUN397/SUN_original/pantry/360.jpg 264
96 classroom
/media/MartinK3TB/Datasets/SUN397/SUN_original/kasbah/114.jpg 209
/media/MartinK3TB/Datasets/SUN397/SUN_original/poolroom+home/195.jpg 286
/media/MartinK3TB/Datasets/SUN397/SUN_original/lecture+room/60.jpg 220
/media/MartinK3TB/Datasets/SUN397/SUN_original/bookstore/208.jpg 55
/media/MartinK3TB/Datasets/SUN397/SUN_original/banquet+hall/34.jpg 33
/media/MartinK3TB/Datasets/SUN397/SUN_original/observatory+outdoor/90.jpg 253
387 wave
/media/MartinK3TB/Datasets/SUN397/SUN_original/burial+chamber/47.jpg 66
==> tmp <==
321 skatepark
/media/MartinK3TB/Datasets/SUN397/SUN_original/aqueduct/6.jpg 11
/media/MartinK3TB/Datasets/SUN397/SUN_original/poolroom+home/202.jpg 286
130 dinette+home
/media/MartinK3TB/Datasets/SUN397/SUN_original/abbey/364.jpg 0
/media/MartinK3TB/Datasets/SUN397/SUN_original/bazaar+indoor/139.jpg 44
178 hangar+indoor
68 butchers+shop
/media/MartinK3TB/Datasets/SUN397/SUN_original/mosque+outdoor/341.jpg 242

/media/MartinK3TB/Datasets/SUN397/SUN_original/theater+indoor+seats/92.jpg 352
/media/MartinK3TB/Datasets/SUN397/SUN_original/greenhouse+outdoor/78.jpg 176
392 wine+cellar+barrel+storage
91 chicken+coop+indoor
293 raceway
310 sandbar
35 barn

384 waterfall+plunge
367 utility+room
335 street
/media/MartinK3TB/Datasets/SUN397/SUN_original/galley/218.jpg 165
/media/MartinK3TB/Datasets/SUN397/SUN_original/swimming+pool+indoor/20.jpg 341
/media/MartinK3TB/Datasets/SUN397/SUN_original/pantry/306.jpg 264
/media/MartinK3TB/Datasets/SUN397/SUN_original/greenhouse+outdoor/17.jpg 176
/media/MartinK3TB/Datasets/SUN397/SUN_original/aqueduct/14.jpg 11
49 berth
16 art+school
/media/MartinK3TB/Datasets/SUN397/SUN_original/galley/170.jpg 165
389 wheat+field
/media/MartinK3TB/Datasets/SUN397/SUN_original/bookstore/12.jpg 55
/media/MartinK3TB/Datasets/SUN397/SUN_original/galley/78.jpg 165
/media/MartinK3TB/Datasets/SUN397/SUN_original/bookstore/101.jpg 55
/media/MartinK3TB/Datasets/SUN397/SUN_original/burial+chamber/76.jpg 66
161 forest+path
/media/MartinK3TB/Datasets/SUN397/SUN_original/elevator+interior/30.jpg 143
/media/MartinK3TB/Datasets/SUN397/SUN_original/burial+chamber/28.jpg 66
==> tmp <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/fire+station/202.jpg 154
136 doorway+outdoor
==> standard input <==
==> standard input <==
184 highway
/media/MartinK3TB/Datasets/SUN397/SUN_original/swimming+pool+indoor/235.jpg 341
==> standard input <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/mosque+outdoor/229.jpg 242
215 labyrinth+outdoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/ice+shelf/119.jpg 198
166 game+room
158 food+court

394 wrestling+ring+indoor

/media/MartinK3TB/Datasets/SUN397/SUN_original/youth+hostel/69.jpg 396
==> tmp <==
146 escalator+indoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/kasbah/17.jpg 209
/media/MartinK3TB/Datasets/SUN397/SUN_original/burial+chamber/38.jpg 66
/media/MartinK3TB/Datasets/SUN397/SUN_original/ice+shelf/64.jpg 198
==> standard input <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/observatory+outdoor/77.jpg 253
269 parlor
/media/MartinK3TB/Datasets/SUN397/SUN_original/watering+hole/90.jpg 385
72 campsite
284 pond
/media/MartinK3TB/Datasets/SUN397/SUN_original/watering+hole/101.jpg 385
170 gazebo+exterior
/media/MartinK3TB/Datasets/SUN397/SUN_original/canyon/195.jpg 77
296 rainforest
/media/MartinK3TB/Datasets/SUN397/SUN_original/control+tower+outdoor/144.jpg 110
/media/MartinK3TB/Datasets/SUN397/SUN_original/canyon/108.jpg 77
/media/MartinK3TB/Datasets/SUN397/SUN_original/greenhouse+outdoor/82.jpg 176
/media/MartinK3TB/Datasets/SUN397/SUN_original/reception/181.jpg 297
/media/MartinK3TB/Datasets/SUN397/SUN_original/reception/145.jpg 297
/media/MartinK3TB/Datasets/SUN397/SUN_original/banquet+hall/112.jpg 33
283 podium+outdoor
116 courtroom
/media/MartinK3TB/Datasets/SUN397/SUN_original/videostore/69.jpg 374
/media/MartinK3TB/Datasets/SUN397/SUN_original/tree+farm/99.jpg 363
/media/MartinK3TB/Datasets/SUN397/SUN_original/watering+hole/26.jpg 385
/media/MartinK3TB/Datasets/SUN397/SUN_original/kasbah/177.jpg 209
/media/MartinK3TB/Datasets/SUN397/SUN_original/aqueduct/220.jpg 11
/media/MartinK3TB/Datasets/SUN397/SUN_original/reception/66.jpg 297
288 promenade+deck
244 mountain
13 archive
54 boathouse
353 thriftshop
226 limousine+interior
/media/MartinK3TB/Datasets/SUN397/SUN_original/control+tower+outdoor/351.jpg 110
63 bridge
348 tennis+court+indoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/videostore/10.jpg 374
/media/MartinK3TB/Datasets/SUN397/SUN_original/galley/134.jpg 165
/media/MartinK3TB/Datasets/SUN397/SUN_original/hospital/79.jpg 187
==> tmp <==
239 moat+water
278 planetarium+outdoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/mansion/281.jpg 231
140 drugstore
==> standard input <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/mansion/278.jpg 231
/media/MartinK3TB/Datasets/SUN397/SUN_original/canyon/46.jpg 77
102 coast
/media/MartinK3TB/Datasets/SUN397/SUN_original/physics+laboratory/77.jpg 275
/media/MartinK3TB/Datasets/SUN397/SUN_original/pantry/399.jpg 264
/media/MartinK3TB/Datasets/SUN397/SUN_original/lecture+room/174.jpg 220
18 assembly+line
62 brewery+indoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/physics+laboratory/155.jpg 275
/media/MartinK3TB/Datasets/SUN397/SUN_original/mosque+outdoor/59.jpg 242
/media/MartinK3TB/Datasets/SUN397/SUN_original/chalet/111.jpg 88
255 office
==> tmp <==
==> tmp <==
134 discotheque
262 pagoda
388 wet+bar
292 racecourse
/media/MartinK3TB/Datasets/SUN397/SUN_original/shopping+mall+indoor/81.jpg 319
299 residential+neighborhood
/media/MartinK3TB/Datasets/SUN397/SUN_original/canyon/161.jpg 77
==> tmp <==
3 alley
/media/MartinK3TB/Datasets/SUN397/SUN_original/observatory+outdoor/82.jpg 253
/media/MartinK3TB/Datasets/SUN397/SUN_original/banquet+hall/184.jpg 33
==> tmp <==
252 oast+house
80 carrousel
189 hotel+outdoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/control+tower+outdoor/257.jpg 110
/media/MartinK3TB/Datasets/SUN397/SUN_original/bazaar+indoor/17.jpg 44
261 outhouse+outdoor
131 dinette+vehicle
205 jacuzzi+indoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/crosswalk/58.jpg 121
==> standard input <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/observatory+outdoor/88.jpg 253
/media/MartinK3TB/Datasets/SUN397/SUN_original/ice+shelf/65.jpg 198
60 bow+window+outdoor
133 dining+room
/media/MartinK3TB/Datasets/SUN397/SUN_original/lecture+room/134.jpg 220
289 pub+indoor
==> tmp <==

238 medina
/media/MartinK3TB/Datasets/SUN397/SUN_original/bazaar+indoor/29.jpg 44
/media/MartinK3TB/Datasets/SUN397/SUN_original/youth+hostel/77.jpg 396
==> tmp <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/auditorium/113.jpg 22
/media/MartinK3TB/Datasets/SUN397/SUN_original/canyon/67.jpg 77
135 dock
61 boxing+ring
336 subway+interior
287 power+plant+outdoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/poolroom+home/133.jpg 286
214 kitchenette
/media/MartinK3TB/Datasets/SUN397/SUN_original/physics+laboratory/163.jpg 275
/media/MartinK3TB/Datasets/SUN397/SUN_original/pantry/130.jpg 264
/media/MartinK3TB/Datasets/SUN397/SUN_original/kasbah/59.jpg 209
277 pilothouse+indoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/videostore/98.jpg 374
/media/MartinK3TB/Datasets/SUN397/SUN_original/swimming+pool+indoor/129.jpg 341
/media/MartinK3TB/Datasets/SUN397/SUN_original/bazaar+indoor/91.jpg 44
/media/MartinK3TB/Datasets/SUN397/SUN_original/lecture+room/19.jpg 220

/media/MartinK3TB/Datasets/SUN397/SUN_original/tree+farm/75.jpg 363
/media/MartinK3TB/Datasets/SUN397/SUN_original/mansion/206.jpg 231
/media/MartinK3TB/Datasets/SUN397/SUN_original/galley/222.jpg 165
/media/MartinK3TB/Datasets/SUN397/SUN_original/hospital/104.jpg 187
/media/MartinK3TB/Datasets/SUN397/SUN_original/youth+hostel/40.jpg 396
177 gymnasium+indoor
==> tmp <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/reception/61.jpg 297
/media/MartinK3TB/Datasets/SUN397/SUN_original/reception/69.jpg 297
/media/MartinK3TB/Datasets/SUN397/SUN_original/fire+station/267.jpg 154
219 laundromat
328 snowfield
70 cabin+outdoor
==> standard input <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/cloister+indoor/149.jpg 99
==> standard input <==
227 living+room
159 forest+broadleaf
71 cafeteria
/media/MartinK3TB/Datasets/SUN397/SUN_original/chalet/117.jpg 88
==> tmp <==
185 hill
/media/MartinK3TB/Datasets/SUN397/SUN_original/lecture+room/177.jpg 220
/media/MartinK3TB/Datasets/SUN397/SUN_original/youth+hostel/132.jpg 396
/media/MartinK3TB/Datasets/SUN397/SUN_original/pantry/48.jpg 264
/media/MartinK3TB/Datasets/SUN397/SUN_original/watering+hole/77.jpg 385
291 putting+green
/media/MartinK3TB/Datasets/SUN397/SUN_original/elevator+interior/57.jpg 143
369 van+interior
/media/MartinK3TB/Datasets/SUN397/SUN_original/crosswalk/3.jpg 121
164 fountain
95 church+outdoor
195 iceberg
/media/MartinK3TB/Datasets/SUN397/SUN_original/hospital/103.jpg 187
233 market+indoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/tree+farm/43.jpg 363
69 butte
==> standard input <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/elevator+interior/13.jpg 143
==> standard input <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/chalet/174.jpg 88
357 topiary+garden
323 ski+resort
/media/MartinK3TB/Datasets/SUN397/SUN_original/greenhouse+outdoor/56.jpg 176
/media/MartinK3TB/Datasets/SUN397/SUN_original/videostore/31.jpg 374
/media/MartinK3TB/Datasets/SUN397/SUN_original/elevator+interior/78.jpg 143
171 general+store+indoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/abbey/149.jpg 0
230 locker+room
259 operating+room
324 ski+slope
258 oilrig
228 lobby
/media/MartinK3TB/Datasets/SUN397/SUN_original/elevator+interior/79.jpg 143
/media/MartinK3TB/Datasets/SUN397/SUN_original/kasbah/154.jpg 209
/media/MartinK3TB/Datasets/SUN397/SUN_original/poolroom+home/358.jpg 286
105 computer+room
/media/MartinK3TB/Datasets/SUN397/SUN_original/videostore/33.jpg 374
/media/MartinK3TB/Datasets/SUN397/SUN_original/videostore/18.jpg 374
350 tent+outdoor
390 wind+farm
/media/MartinK3TB/Datasets/SUN397/SUN_original/galley/164.jpg 165
29 balcony+interior
217 landfill
364 tree+house
326 skyscraper
/media/MartinK3TB/Datasets/SUN397/SUN_original/dining+car/83.jpg 132
174 golf+course
150 fastfood+restaurant
85 cathedral+outdoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/watering+hole/12.jpg 385
67 bus+interior
/media/MartinK3TB/Datasets/SUN397/SUN_original/burial+chamber/26.jpg 66
/media/MartinK3TB/Datasets/SUN397/SUN_original/chalet/144.jpg 88
/media/MartinK3TB/Datasets/SUN397/SUN_original/tree+farm/90.jpg 363
316 shed
53 boat+deck
/media/MartinK3TB/Datasets/SUN397/SUN_original/cloister+indoor/73.jpg 99
/media/MartinK3TB/Datasets/SUN397/SUN_original/lecture+room/95.jpg 220
==> tmp <==
206 jail+cell
/media/MartinK3TB/Datasets/SUN397/SUN_original/videostore/36.jpg 374
/media/MartinK3TB/Datasets/SUN397/SUN_original/tree+farm/13.jpg 363
/media/MartinK3TB/Datasets/SUN397/SUN_original/galley/245.jpg 165
/media/MartinK3TB/Datasets/SUN397/SUN_original/kasbah/160.jpg 209
127 desert+vegetation
232 manufactured+home
113 corridor
/media/MartinK3TB/Datasets/SUN397/SUN_original/chalet/100.jpg 88
/media/MartinK3TB/Datasets/SUN397/SUN_original/crosswalk/108.jpg 121
/media/MartinK3TB/Datasets/SUN397/SUN_original/ruin/252.jpg 308
/media/MartinK3TB/Datasets/SUN397/SUN_original/swimming+pool+indoor/30.jpg 341
/media/MartinK3TB/Datasets/SUN397/SUN_original/observatory+outdoor/104.jpg 253
/media/MartinK3TB/Datasets/SUN397/SUN_original/kasbah/149.jpg 209
19 athletic+field+outdoor
==> standard input <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/bookstore/182.jpg 55
/media/MartinK3TB/Datasets/SUN397/SUN_original/dining+car/177.jpg 132
39 basilica
==> tmp <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/hospital/41.jpg 187
==> standard input <==
199 ice+skating+rink+indoor
213 kitchen
97 clean+room
180 harbor
/media/MartinK3TB/Datasets/SUN397/SUN_original/cloister+indoor/97.jpg 99
329 squash+court
/media/MartinK3TB/Datasets/SUN397/SUN_original/reception/38.jpg 297
10 aquarium
/media/MartinK3TB/Datasets/SUN397/SUN_original/crosswalk/2.jpg 121
248 music+store
21 attic
/media/MartinK3TB/Datasets/SUN397/SUN_original/dining+car/107.jpg 132
/media/MartinK3TB/Datasets/SUN397/SUN_original/swimming+pool+indoor/26.jpg 341
/media/MartinK3TB/Datasets/SUN397/SUN_original/videostore/19.jpg 374
51 bistro+indoor
138 driveway
/media/MartinK3TB/Datasets/SUN397/SUN_original/burial+chamber/66.jpg 66
/media/MartinK3TB/Datasets/SUN397/SUN_original/lecture+room/71.jpg 220
383 waterfall+fan
/media/MartinK3TB/Datasets/SUN397/SUN_original/mansion/297.jpg 231
==> tmp <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/physics+laboratory/20.jpg 275
/media/MartinK3TB/Datasets/SUN397/SUN_original/banquet+hall/226.jpg 33

/media/MartinK3TB/Datasets/SUN397/SUN_original/aqueduct/178.jpg 11
332 stadium+football
/media/MartinK3TB/Datasets/SUN397/SUN_original/youth+hostel/70.jpg 396
274 phone+booth
204 islet
/media/MartinK3TB/Datasets/SUN397/SUN_original/pantry/21.jpg 264
351 theater+indoor+procenium
75 canal+urban
190 hotel+room
/media/MartinK3TB/Datasets/SUN397/SUN_original/fire+station/232.jpg 154
331 stadium+baseball
==> tmp <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/chalet/276.jpg 88
/media/MartinK3TB/Datasets/SUN397/SUN_original/fire+station/279.jpg 154
155 firing+range+indoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/mansion/186.jpg 231
/media/MartinK3TB/Datasets/SUN397/SUN_original/crosswalk/26.jpg 121
48 bedroom
221 library+indoor
100 closet
/media/MartinK3TB/Datasets/SUN397/SUN_original/mansion/242.jpg 231
225 lighthouse
/media/MartinK3TB/Datasets/SUN397/SUN_original/stable/20.jpg 330
/media/MartinK3TB/Datasets/SUN397/SUN_original/theater+indoor+seats/35.jpg 352
/media/MartinK3TB/Datasets/SUN397/SUN_original/reception/141.jpg 297
/media/MartinK3TB/Datasets/SUN397/SUN_original/auditorium/178.jpg 22
/media/MartinK3TB/Datasets/SUN397/SUN_original/cloister+indoor/69.jpg 99
38 basement
/media/MartinK3TB/Datasets/SUN397/SUN_original/tree+farm/80.jpg 363
305 river
/media/MartinK3TB/Datasets/SUN397/SUN_original/poolroom+home/55.jpg 286
/media/MartinK3TB/Datasets/SUN397/SUN_original/bazaar+indoor/103.jpg 44
==> tmp <==
/media/MartinK3TB/Datasets/SUN397/SUN_original/swimming+pool+indoor/66.jpg 341
203 inn+outdoor
/media/MartinK3TB/Datasets/SUN397/SUN_original/greenhouse+outdoor/49.jpg 176
241 mosque+indoor

47 beauty+salon
==> standard input <==
311 sandbox
30 ball+pit
6 amusement+park
/media/MartinK3TB/Datasets/SUN397/SUN_original/watering+hole/95.jpg 385
270 pasture
/media/MartinK3TB/Datasets/SUN397/SUN_original/abbey/417.jpg 0
175 greenhouse+indoor
==> standard input <==
249 music+studio
/media/MartinK3TB/Datasets/SUN397/SUN_original/control+tower+outdoor/239.jpg 110
82 castle

344 synagogue+outdoor
76 candy+store
/media/MartinK3TB/Datasets/SUN397/SUN_original/abbey/159.jpg 0
/media/MartinK3TB/Datasets/SUN397/SUN_original/ice+shelf/125.jpg 198
34 bar
/media/MartinK3TB/Datasets/SUN397/SUN_original/theater+indoor+seats/47.jpg 352
160 forest+needleleaf
==> standard input <==
